SMILES,Clint,logP,Fup,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit
Cc1ccc(C)c(O)c1C,0.9020584943115776,0.5453216374269005,0.08295687885010268,0.15118846980879874,0.2,0.1,0.0,0.18105566978412654,0.12526315789473685
Cc1ccc(O)c(C(C)(C)C)c1,0.6428523942134526,0.6564327485380117,0.017659137577002056,0.19191317487069218,0.2,0.1,0.0,0.22993407825313464,0.12526315789473685
CCOP(=S)(OCC)Oc1ncn(-c2ccccc2)n1,0.7012416508396081,0.6432748538011696,0.04004106776180699,0.40830766548497704,0.0,0.7000000000000001,0.4117647058823529,0.37817032848557997,0.36160990712074303
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,0.43311651565989107,0.6564327485380117,0.05909650924024641,0.3239815191491835,0.2,0.1,0.11764705882352941,0.3109728477421153,0.1801857585139319
CCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1,0.9534812644521242,0.6564327485380117,0.13449691991786447,0.38087696867553905,0.4,0.4,0.5882352941176471,0.39527512250065033,0.413374613003096
CNC(=O)Oc1cccc(N=CN(C)C)c1,0.5765860868515746,0.3669590643274854,0.8986652977412732,0.2747283082466438,0.2,0.30000000000000004,0.1764705882352941,0.2925600026701407,0.33393188854489164
C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,0.6647516663905919,0.8859649122807016,0.0033880903490759746,0.46221014703318425,0.0,0.4,0.3529411764705882,0.4645387835284108,0.27715170278637774
Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,0.6547370946749007,0.40350877192982454,0.15739219712525668,0.2994566164932876,0.0,0.5,0.11764705882352941,0.3041057121408224,0.3626006191950465
O=C(NO)C1(NS(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2)CCOCC1,0.30789440184515243,0.5029239766081871,0.13860369609856263,0.549282268844075,0.6000000000000001,0.6000000000000001,0.3529411764705882,0.46519731227030303,0.7056346749226006
CNC(=O)Oc1cccc2c1OC(C)(C)O2,0.6485029647286976,0.40350877192982454,0.19209445585215607,0.2775759865171151,0.2,0.4,0.058823529411764705,0.2581024730058844,0.351640866873065
CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,0.683440352095557,0.4649122807017544,0.2053388090349076,0.3894345324577207,0.0,0.2,0.058823529411764705,0.39694078168368263,0.2515170278637771
CCOP(=O)(NC(C)C)Oc1ccc(SC)c(C)c1,0.8163538538840216,0.6271929824561403,0.03221765913757701,0.3938513395711048,0.2,0.4,0.4117647058823529,0.38647849238771503,0.29448916408668735
CCSC(=O)N1CCCCCC1,0.5503598675292074,0.6242690058479532,0.08946611909650926,0.2253007496948916,0.0,0.2,0.058823529411764705,0.2406633816166113,0.12575851393188855
CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,0.3542608054898987,0.47953216374269003,0.3136550308008214,0.3022897657929912,0.4,0.6000000000000001,0.23529411764705882,0.287000918125752,0.5357275541795665
CNC(=N[N+](=O)[O-])NCc1cnc(Cl)s1,0.5382261368091493,0.2573099415204678,0.5091375770020535,0.31524960771778926,0.4,0.4,0.1764705882352941,0.2612393585092987,0.5724458204334366
