,SMILES_rdkit_final,logP,Fup,Clint.invitro.,Clint.invivo.,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit,logP_rdkit
21845,CNC(=O)c1ccc(O)cc1OCC(O)CN1CCC2(CC1)Cc1cc(F)ccc1O2,2.1,,26.0,,430.19,3,6,6,112.13580000000005,91.26,2.1003
21846,CNC(=O)c1cccc(-c2cnc(NCC3(c4ncccc4F)CC(F)C3)nc2)c1,3.52,0.65,,,409.17,2,5,6,109.35090000000004,79.8,3.5191000000000026
21847,CNC(=O)c1cn(CC(F)CCc2ccc(NC(=O)Cc3cc(C(F)(F)F)cc(C)n3)nn2)nn1,2.3,0.04,,,494.18,2,8,9,114.97090000000003,127.58000000000001,2.3020199999999997
21848,CNC(=O)c1cn(CC(F)CCc2ccc(NC(=O)Cc3cc(-c4cccc(OC(F)(F)F)c4)ccn3)nn2)nn1,3.54,0.01,,,572.19,2,9,11,137.35089999999988,136.81,3.540400000000001
21849,CNC(=O)c1cn(CC(F)CCc2ccc(NC(=O)Cc3cc(OC4CC(F)(F)C4)cc(C)n3)nn2)nn1,2.46,0.02,,,532.22,2,9,11,128.56590000000003,136.81,2.45972
21850,CNC(=O)c1cn(CC(F)CCc2ccc(NC(=O)Cc3cc(OC4CC(F)(F)C4)ccn3)nn2)nn1,2.15,0.03,,,518.2,2,9,11,123.82890000000002,136.81,2.1513
21851,CNC(=O)c1cnc(N)c(OC2CN(C(=O)Cc3ccc(OC(F)(F)F)cc3)CC2(F)F)c1,2.39,,1.4,,474.13,2,6,6,104.81160000000003,106.78000000000002,2.3896000000000006
21852,CNC(=O)c1cnc(N)c2cc(-c3ccc(S(=O)(=O)NC(C)(C)C)cc3)sc12,2.98,0.012,,,418.11,3,6,4,112.93310000000002,114.18,2.9819000000000013
21853,CNC(=O)c1cnc(Nc2ccc(F)cn2)cc1Nc1ccccc1C(N)=O,2.56,0.263,,,380.14,4,6,6,103.34750000000001,122.03,2.5614
21854,CNC(=O)c1cnc2cc(OC)c(OC)cc2c1Nc1ccc(Cl)cc1F,4.15,0.039,,,389.09,2,5,5,102.92990000000003,72.48,4.147700000000002
21855,CNC(=O)c1cnc2cc(OC)c(OC)cc2c1Nc1ccccc1,3.36,0.091,,,337.14,2,5,5,97.96190000000001,72.48,3.3552000000000017
21856,CNC(=O)c1cnc2cc(OC)c(OC)cc2c1Nc1ccccc1CCS(C)(=O)=O,2.94,0.22,,,443.15,2,7,8,121.37670000000003,106.62,2.9423000000000012
21857,CNC(=O)c1cnc2cc(OC)c(OC)cc2c1Oc1ccccc1,3.4,0.147,,,338.13,1,5,5,94.75320000000004,69.68,3.403900000000002
21858,CNC(=O)c1cnc2cc(OC)c(OCN3CCN(C)CC3)cc2c1Nc1ccccc1,2.93,0.51,,,435.23,2,7,7,125.97490000000003,78.96000000000001,2.930300000000001
21859,CNC(=O)c1cnc2ccccc2c1Nc1ccc(Cl)cc1F,4.13,0.062,,,329.07,2,3,3,89.82590000000003,54.02,4.130500000000002
21860,CNC(=O)c1cnccc1Nc1ccc(Cl)cc1F,2.98,0.089,,,279.06,2,3,3,72.31990000000002,54.02,2.9773000000000014
21861,CNC(=O)c1nc(N2CCC(NC(=O)c3[nH]c(C)c(Cl)c3Cl)C(OC)C2)sc1C(=O)O,2.17,0.02,,,489.06,4,7,6,116.89440000000005,136.65,2.1679199999999996
21862,CNC(=O)c1nnc2ccc(-c3ccc(OCCCN(C)C)nc3)cc2c1NC(C)C1CCOCC1,3.61,0.04,4.1,,492.28,2,8,10,141.4528999999999,101.5,3.608900000000003
